booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone_hashed,amount,payment_method
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,P1945887,3D,Isaac Bakshi,985d67522f17,,
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,L3482012,18A,Anvi Konda,aa7ee7d23b01,,
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,G8507659,30C,Udant Dewan,4e33ce849c3d,6087.22,UPI
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,G8507659,30C,Udant Dewan,4e33ce849c3d,2505.86,NETBANKING
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,M0891776,33A,Harsh Chahal,27696444174d,,
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,N5742231,25C,Pahal Balay,95c1ff00e23a,12222.48,UPI
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,B0402369,13D,Ayushman Chander,42b9936ba589,13378.9,UPI
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,W9430120,17F,Tejas Kaul,c0c31d265f7a,14980.37,NETBANKING
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,C3727117,22E,Yashasvi Bala,8cbfb5c7045a,,
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,J9885582,34F,Rushil Saini,9fde40b1b124,,
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,Y3306745,33C,Thomas Sen,a7caeb0999e2,,
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,N0944128,15B,Arunima Ahuja,975709b8233d,8027.125,NETBANKING
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,E1885666,22C,Nathaniel Sami,42d6463d2f42,2115.18,CARD
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,F9715066,28B,Harini Mall,ca67232a3e0e,8027.125,CARD
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,F9715066,28B,Harini Mall,ca67232a3e0e,4074.67,CARD
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,F9715066,28B,Harini Mall,ca67232a3e0e,12647.86,CARD
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,F9715066,28B,Harini Mall,ca67232a3e0e,6979.86,CARD
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,A5514377,26E,Nachiket Kale,b6c4064e4684,1176.33,UPI
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,P3439252,21E,Gayathri Chaudry,251e65d2efa3,,
B1015,P1431,UK094,2025-10-21 11:37:36.951,CONFIRMED,D1102867,6F,George Rai,d43ebccd9367,12008.1,CARD
B1015,P1431,UK094,2025-10-21 11:37:36.951,CONFIRMED,D1102867,6F,George Rai,d43ebccd9367,7601.56,CARD
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,A7202455,6A,Gunbir Parmer,74c11c6d3d1b,14076.51,CARD
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,A7202455,6A,Gunbir Parmer,74c11c6d3d1b,9724.26,NETBANKING
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,L1091090,13B,Hemangini Lalla,456646c8e244,,
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,T1494981,19B,Caleb Sharaf,f793775bac70,2588.63,UPI
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,Y4281793,19A,Jeet Radhakrishnan,24c48654ba06,14810.27,UPI
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,Y4281793,19A,Jeet Radhakrishnan,24c48654ba06,8027.125,UPI
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,Y4281793,19A,Jeet Radhakrishnan,24c48654ba06,3810.73,CARD
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,F7758446,27B,Farhan Memon,d113ff53752d,8150.35,NETBANKING
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,L3372201,4E,Janaki Handa,c25923f01304,6949.93,UPI
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,D7221455,16F,Ekaraj Bath,fc601302cfc1,,
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,P1894370,24B,Vedant Mann,11c3bb168b86,13057.27,CARD
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,M1004627,30F,Fariq Kaul,8d1fccc44b58,4857.79,UPI
